source_episode,object_x,object_y,policy,dx,dy,dz,pregrasp_success,pregrasp_distance,grasp_success,alignment_error,descent_error,descent_residual_x,descent_residual_y,descent_residual_z,lift_tracking_error,object_lift,object_xy_motion,hand_object_distance
32,0.4252530634403229,-0.1087189391255378,targeted,-0.005,-0.005,0.005,1,0.03552308306097984,0,0.005994389684250416,0.017207441505214353,0.0008028995990753129,-0.0044338527321815535,-0.016606996878981595,0.012401130577866924,-7.860362529754639e-07,0.0017456566353223238,0.32254804343741783
67,0.4106421172618866,-0.1034040749073028,targeted,-0.005,-0.005,0.005,1,0.037347082048654556,0,0.005691891872190925,0.01689665939294763,0.0013722729682922319,-0.004909833073616032,-0.01610923662781716,0.01232477771751276,-2.3301690816879272e-06,0.0020377657816463275,0.3223131278683458
14,0.4063156247138977,-0.0965389907360076,original,-0.005,-0.005,0.01,1,0.039500731974840164,0,0.008048505040539588,0.014123165433939905,-0.0006217706203460738,-0.00617847323417664,-0.012684781104326248,0.012735906900262339,-3.028661012649536e-06,0.0022130613644068264,0.323414144306148
27,0.4140132665634155,-0.096694678068161,original,-0.005,-0.005,0.01,1,0.038622889667749405,0,0.007895196353337422,0.0142784533297259,-0.0010069060325622603,-0.006095913350582127,-0.01287245936691761,0.01275759698019967,1.163966953754425e-05,0.002606302003295725,0.32353551670329894
28,0.4204081296920776,-0.1092793270945549,targeted,-0.005,-0.005,0.01,1,0.03632752597332001,0,0.00589655350719263,0.012356528441242104,0.0010141384601592973,-0.00465375661849976,-0.011401660740375519,0.012395197166944408,-3.3229589462280273e-06,0.002136179951438827,0.3227838585680362
29,0.4126269817352295,-0.1127190440893173,targeted,-0.005,-0.005,0.01,1,0.03791622444987297,0,0.0058907740966823875,0.012193716249429686,0.0012979459762573198,-0.004961413443088536,-0.01106283999979496,0.012358613129151956,1.1548399925231934e-07,0.002052799620012084,0.32265693530271833
32,0.4252530634403229,-0.1087189391255378,targeted,-0.005,-0.005,0.01,1,0.03552308306097984,0,0.005994389684250416,0.012462229780587196,0.0008490335941314653,-0.004487511813640599,-0.011595195159316063,0.01241702853199797,-5.153939127922058e-06,0.0012781041903105644,0.32283795693756345
67,0.4106421172618866,-0.1034040749073028,targeted,-0.005,-0.005,0.01,1,0.037347082048654556,0,0.005691891872190925,0.012195834244773182,0.0014925849437713579,-0.005076204538345341,-0.010988298803567886,0.012337622119143162,-2.3301690816879272e-06,0.0018829206699061986,0.32258204621885683
14,0.4063156247138977,-0.0965389907360076,original,-0.005,0.0,0.0,1,0.039500731974840164,0,0.008048505040539588,0.021967924214171434,-0.0012029755115509078,-0.005547940731048584,-0.021221755295991906,0.012617305279574009,-3.028661012649536e-06,0.010580994273920011,0.32199712998646296
27,0.4140132665634155,-0.096694678068161,original,-0.005,0.0,0.0,1,0.038622889667749405,0,0.007895196353337422,0.02200325577574533,-0.0015906143188476607,-0.005464181303977966,-0.021254550889134416,0.012638390225590124,-3.0174851417541504e-06,0.012626959808623413,0.3220986204053277
28,0.4204081296920776,-0.1092793270945549,targeted,-0.005,0.0,0.0,1,0.03632752597332001,0,0.00589655350719263,0.02159343021857912,0.0010038268566131547,-0.004167124629020691,-0.021163733899593362,0.012339606877148327,-3.3229589462280273e-06,0.009117144494210506,0.32189688760014434
29,0.4126269817352295,-0.1127190440893173,targeted,-0.005,0.0,0.0,1,0.03791622444987297,0,0.0058907740966823875,0.02147392033718926,0.001210863590240474,-0.004331424832344055,-0.02099766232073308,0.01228340559026565,1.1548399925231934e-07,0.007277428615001345,0.3217760567690563
32,0.4252530634403229,-0.1087189391255378,targeted,-0.005,0.0,0.0,1,0.03552308306097984,0,0.005994389684250416,0.02164089574076368,0.0008766901493072465,-0.0040806978940963745,-0.02123458705842496,0.01236968157291242,-5.153939127922058e-06,0.010640080786798452,0.3219395617098155
67,0.4106421172618866,-0.1034040749073028,targeted,-0.005,0.0,0.0,1,0.037347082048654556,0,0.005691891872190925,0.021444501746879965,0.0013438415527343706,-0.004404440522193909,-0.02094425097107888,0.012257782123151538,-2.3301690816879272e-06,0.00910419829302902,0.32176600999431265
14,0.4063156247138977,-0.0965389907360076,original,-0.005,0.0,0.005,1,0.039500731974840164,0,0.008048505040539588,0.01779453463153666,-0.0012414205074310347,-0.00536007434129715,-0.016922586709260945,0.01265365581569284,-3.028661012649536e-06,0.008757903290413977,0.3226917080646324
27,0.4140132665634155,-0.096694678068161,original,-0.005,0.0,0.005,1,0.038622889667749405,0,0.007895196353337422,0.017904938127237043,-0.0016254532337188765,-0.005291089415550232,-0.017027891352772717,0.012672164638600228,-3.0174851417541504e-06,0.01080684664841377,0.3227900955461453
28,0.4204081296920776,-0.1092793270945549,targeted,-0.005,0.0,0.005,1,0.037421174347400665,0,0.006082198098574706,0.016959502503912063,0.0009547126293182329,-0.0040016621351242065,-0.016452961713075642,0.012366341572168234,-5.150213837623596e-06,0.008652987492372253,0.32250344281894044
29,0.4126269817352295,-0.1127190440893173,targeted,-0.005,0.0,0.005,1,0.03791622444987297,0,0.0058907740966823875,0.016778039521992753,0.0012578022480010942,-0.0041896626353263855,-0.01619775511324406,0.012306224876330304,1.1548399925231934e-07,0.0055843363971935355,0.32233352186442854
32,0.4252530634403229,-0.1087189391255378,targeted,-0.005,0.0,0.005,1,0.03552308306097984,0,0.005994389684250416,0.01705868084920567,0.0008809816837310747,-0.0038918256759643555,-0.016585419997572903,0.012392725497662993,-5.153939127922058e-06,0.008981281107362881,0.3225209077254809
67,0.4106421172618866,-0.1034040749073028,targeted,-0.005,0.0,0.005,1,0.03826608881354332,0,0.005846461016414393,0.016561509742757198,0.001091058254241939,-0.004293106496334076,-0.01595814630389214,0.012266611335508328,-9.713694453239441e-06,0.005035962189775953,0.3220995864243074
14,0.4063156247138977,-0.0965389907360076,original,-0.005,0.0,0.01,1,0.039500731974840164,0,0.008048505040539588,0.013700729399781557,-0.0012394237518310591,-0.005144283175468445,-0.012637648731470108,0.012685306591597318,-3.028661012649536e-06,0.006530159972941041,0.32335085184107876
27,0.4140132665634155,-0.096694678068161,original,-0.005,0.0,0.01,1,0.038622889667749405,0,0.007895196353337422,0.013768292224033092,-0.001623456478118901,-0.005079157650470734,-0.012693794444203377,0.012707645093974113,-3.0174851417541504e-06,0.0069439367234349235,0.3234621488285681
28,0.4204081296920776,-0.1092793270945549,targeted,-0.005,0.0,0.01,1,0.03632752597332001,0,0.00589655350719263,0.012212674296761093,0.0011251223087310747,-0.004145815968513489,-0.0114322230219841,0.012372525516772847,-3.3229589462280273e-06,0.006257584387834288,0.3228100901754048
29,0.4126269817352295,-0.1127190440893173,targeted,-0.005,0.0,0.01,1,0.03791622444987297,0,0.0058907740966823875,0.012042029787958285,0.0014111351966857866,-0.004375152289867401,-0.011130014434456825,0.012317738047935772,1.1548399925231934e-07,0.0030045339702337386,0.3226390371842493
32,0.4252530634403229,-0.1087189391255378,targeted,-0.005,0.0,0.01,1,0.03552308306097984,0,0.005994389684250416,0.01232554088965986,0.000961447954177852,-0.004007026553153992,-0.011616295203566551,0.012406162480625602,-5.153939127922058e-06,0.00690109929310078,0.32291723380496146
67,0.4106421172618866,-0.1034040749073028,targeted,-0.005,0.0,0.01,1,0.037347082048654556,0,0.005691891872190925,0.012020084690166813,0.0015970122814178422,-0.0043930187821388245,-0.011073995381593704,0.01228976269155955,-2.3301690816879272e-06,0.004777556412796457,0.3225826366618816
14,0.4063156247138977,-0.0965389907360076,original,-0.005,0.005,0.0,1,0.039500731974840164,0,0.008048505040539588,0.02161669276228018,-0.0015973496437072798,-0.004371772408485408,-0.02110965386033059,0.012516417344990321,-3.028661012649536e-06,0.021641238796045754,0.3220886635738553
27,0.4140132665634155,-0.096694678068161,original,-0.005,0.005,0.0,1,0.038622889667749405,0,0.007895196353337422,0.02170727048315489,-0.002044920921325688,-0.004318619966506954,-0.02117482967674733,0.012535857416788677,-3.0174851417541504e-06,0.02174293298049441,0.3221681567149147
